"Relative Time (Process)","ConvNext_Large_Base - system/gpu.0.powerWatts","ConvNext_Large_Base - system/gpu.0.powerWatts__MIN","ConvNext_Large_Base - system/gpu.0.powerWatts__MAX"
"4071.110421663","139.061","139.061","139.061"
"4081.063259704","505.825","505.825","505.825"
"4091.04650718","613.938","613.938","613.938"
"4101.046195262","622.388","622.388","622.388"
"4111.046965567","625.516","625.516","625.516"
"4121.090683044","616.518","616.518","616.518"
"4131.046597094","612.379","612.379","612.379"
"4141.046801759","631.51","631.51","631.51"
"4151.089309363","637.554","637.554","637.554"
"4161.055658851","639.168","639.168","639.168"
"4171.046818626","627.139","627.139","627.139"
"4181.10970033","627.583","627.583","627.583"
"4191.046523754","638.781","638.781","638.781"
"4201.097435985","146.182","146.182","146.182"
"4211.04664476","142.243","142.243","142.243"
"4221.081228706","138.668","138.668","138.668"
"4231.140133077","616.839","616.839","616.839"
"4241.046720796","627.037","627.037","627.037"
"4251.046209451","636.82","636.82","636.82"
"4261.05153681","640.156","640.156","640.156"
"4271.046800224","623.15","623.15","623.15"
"4281.046561555","631.305","631.305","631.305"
"4291.046308325","635.609","635.609","635.609"
"4301.051838311","633.836","633.836","633.836"
"4311.060111757","628.895","628.895","628.895"
"4321.046137862","632.009","632.009","632.009"
"4331.046499329","625.974","625.974","625.974"
"4341.116777101","537.441","537.441","537.441"
"4351.075175825","143.564","143.564","143.564"
"4361.046571941","139.169","139.169","139.169"
"4371.115720354","606.301","606.301","606.301"
"4381.046716564","614.097","614.097","614.097"
"4391.046301988","635.608","635.608","635.608"
"4401.05680068","622.373","622.373","622.373"
"4411.046854136","617.905","617.905","617.905"
"4421.046899119","639.59","639.59","639.59"
"4431.053974884","631.495","631.495","631.495"
"4441.107756466","632.437","632.437","632.437"
"4451.046690383","622.117","622.117","622.117"
"4461.045956763","620.587","620.587","620.587"
"4471.046407425","626.955","626.955","626.955"
"4481.048904604","671.755","671.755","671.755"
"4491.046508932","145.256","145.256","145.256"
"4501.057089875","139.832","139.832","139.832"
"4511.057825437","136.766","136.766","136.766"
"4521.047005774","607.768","607.768","607.768"
"4531.046975887","601.306","601.306","601.306"
"4541.047037297","616.607","616.607","616.607"
"4551.063465405","607.224","607.224","607.224"
"4561.046915763","605.31","605.31","605.31"
"4571.04690546","629.916","629.916","629.916"
"4581.053076629","606.855","606.855","606.855"
"4591.0462916","626.155","626.155","626.155"
"4601.118819209","629.33","629.33","629.33"
"4611.046249726","641.343","641.343","641.343"
"4621.046787817","626.016","626.016","626.016"
